district,total_eligible,matched,match_rate
Hendon (1837-1947),9,9,1.0
Haltwhistle,17,17,1.0
Hampstead,1,1,1.0
Hardingstone,20,20,1.0
North Witchford,7,7,1.0
Hartismere,32,32,1.0
Newton Abbot,39,39,1.0
Newport S,16,16,1.0
Manchester (1939 onw),13,13,1.0
Basingstoke,39,39,1.0
Newmarket (1938-1989),29,29,1.0
Newington,1,1,1.0
Newent,18,18,1.0
Newcastle upon Tyne,11,11,1.0
Havant,6,6,1.0
Basford,44,44,1.0
Hemel Hempstead,6,6,1.0
Newmarket (to 1938),29,29,1.0
Manchester (1837-1924),13,13,1.0
Honiton,28,28,1.0
Malling,22,22,1.0
Keighley (1974 onw),7,7,1.0
Kensington,4,4,1.0
Kettering,30,30,1.0
Keynsham,19,19,1.0
Lewisham,7,7,1.0
Kings Lynn,4,4,1.0
Kings Norton (1913-1924),5,5,1.0
Keighley (1837-1946),7,7,1.0
Leighton Buzzard,16,16,1.0
Kings Norton (to 1912),5,5,1.0
Kingsbridge,26,26,1.0
Leeds (1939 onw),1,1,1.0
Leeds (1837-1929),1,1,1.0
Kingsclere (1837-1932),15,15,1.0
Launceston,21,21,1.0
Langport,29,29,1.0
Leigh,10,10,1.0
Hackney,2,2,1.0
Liskeard,26,26,1.0
Barnstaple,40,40,1.0
Maldon (1974 onw),32,32,1.0
Maldon (1837-1972),32,32,1.0
Maidstone,16,16,1.0
Madeley,12,12,1.0
Horncastle,69,69,1.0
Macclesfield,41,41,1.0
Lymington,7,7,1.0
Liverpool (1837-1934),1,1,1.0
Horsham,10,10,1.0
Huntingdon,33,33,1.0
Ipswich,16,16,1.0
Isle of Wight,30,30,1.0
Islington,1,1,1.0
Barnet,10,10,1.0
Barnsley,17,17,1.0
Llandilofawr,12,12,1.0
Hoxne,24,24,1.0
Southampton,6,6,1.0
Nuneaton,9,9,1.0
Oldham,8,8,1.0
Salisbury (1837-69),3,3,1.0
Salford,4,4,1.0
Askrigg,15,15,1.0
East Ashford,25,25,1.0
East Grinstead,7,7,1.0
East London,5,5,1.0
Rotherhithe (to 1869),1,1,1.0
East Stonehouse,1,1,1.0
Eastbourne,14,14,1.0
Easthampstead (1837-1937),5,5,1.0
Easthampstead (1967-74),5,5,1.0
Eastry,31,31,1.0
Ecclesall Bierlow,7,7,1.0
Romford,10,10,1.0
Rochford,27,27,1.0
Salisbury (1895 onw),3,3,1.0
Samford,28,28,1.0
Scarborough,32,32,1.0
Scilly Islands,5,5,1.0
Cuckfield,15,15,1.0
South Molton,30,30,1.0
Solihull,11,11,1.0
Dartford,21,21,1.0
Daventry,28,28,1.0
Dewsbury,11,11,1.0
Dorking,8,8,1.0
Aston (1837-1924),5,5,1.0
Shipston on Stour,36,36,1.0
Sheffield,4,4,1.0
Lambeth,1,1,1.0
Sevenoaks,17,17,1.0
Droxford,11,11,1.0
Dunmow,25,25,1.0
Dursley,10,10,1.0
Easington,19,19,1.0
Sherborne,30,30,1.0
Ely,16,16,1.0
Ringwood (to 1932),6,6,1.0
Epping,17,17,1.0
Plomesgate,42,42,1.0
Petworth (to 1935),5,5,1.0
Petersfield,13,13,1.0
Garstang,23,23,1.0
Penzance,20,20,1.0
Gateshead,9,9,1.0
Penkridge,22,22,1.0
Plymouth,2,2,1.0
Godstone,14,14,1.0
Pancras (1837-1901),1,1,1.0
Oxford,11,11,1.0
Gravesend (1980 onw),2,2,1.0
Greenwich,4,4,1.0
Guiltcross,21,21,1.0
Ormskirk,21,21,1.0
Guisborough,27,27,1.0
Gravesend (1837-1941),2,2,1.0
Okehampton,28,28,1.0
Freebridge Lynn,32,32,1.0
Foleshill,13,13,1.0
Richmond Sry,5,5,1.0
Epsom,15,15,1.0
Reigate,16,16,1.0
Reeth,7,7,1.0
Redruth (to 1974),8,8,1.0
Reading (1837-1974),3,3,1.0
Radford,4,4,1.0
Fordingbridge,12,12,1.0
Atherstone,17,17,1.0
Prescot,20,20,1.0
Potterspury,15,15,1.0
Portsea Island (1837-1900),3,3,1.0
Poplar (to 1965),3,3,1.0
Falmouth,10,10,1.0
Fareham,9,9,1.0
Farnham,6,6,1.0
Eton,19,19,1.0
Liverpool (1969 onw),1,1,1.0
