year,district,active_parish_rows,active_unique_parishes,matched_parish_rows,matched_unique_parishes,matched_share,usable_1851_backbone
1852,Ely,16,16,15,15,0.9375,1
1852,Epping,17,17,16,16,0.9411764705882353,1
1852,Epsom,15,15,15,15,1.0,1
1852,Erpingham,51,51,47,47,0.9215686274509803,1
1852,Eton,19,19,19,19,1.0,1
1852,Evesham,30,30,25,25,0.8333333333333334,1
1852,Exeter,23,23,22,22,0.9565217391304348,1
1852,Falmouth,10,10,10,10,1.0,1
1852,Fareham,9,9,9,9,1.0,1
1852,Faringdon,29,29,25,25,0.8620689655172413,1
1852,Farnborough (1847-69),11,11,9,9,0.8181818181818182,1
1852,Farnham,6,6,6,6,1.0,1
1852,Faversham,25,25,22,22,0.88,1
1852,Ffestiniog,15,15,13,13,0.8666666666666667,1
1852,Flegg,20,20,18,18,0.9,1
1852,Foleshill,12,12,12,12,1.0,1
1852,Fordingbridge,12,12,11,11,0.9166666666666666,1
1852,Forehoe,23,23,21,21,0.9130434782608695,1
1852,Freebridge Lynn,32,32,31,31,0.96875,1
1852,Frome,29,29,26,26,0.896551724137931,1
1852,Fylde,23,23,17,17,0.7391304347826086,1
1852,Gainsborough,50,50,47,47,0.94,1
1852,Garstang,23,23,20,20,0.8695652173913043,1
1852,Gateshead,9,9,9,9,1.0,1
1852,Glanford Brigg,54,54,50,50,0.9259259259259259,1
1852,Glendale,45,45,40,40,0.8888888888888888,1
1852,Gloucester (1837-1937),40,40,35,35,0.875,1
1852,Gloucester (1974 onw),40,40,35,35,0.875,1
1852,Godstone,14,14,14,14,1.0,1
1852,Goole,17,17,16,16,0.9411764705882353,1
1852,Grantham (1837-1933),54,54,48,48,0.8888888888888888,1
1852,Grantham (1974 onw),54,54,48,48,0.8888888888888888,1
1852,Gravesend (1837-1941),2,2,2,2,1.0,1
1852,Gravesend (1980 onw),2,2,2,2,1.0,1
1852,Great Boughton,113,113,100,100,0.8849557522123894,1
1852,Greenwich,4,4,2,2,0.5,1
1852,Guildford,22,22,20,20,0.9090909090909091,1
1852,Guiltcross,21,21,21,21,1.0,1
1852,Guisborough,27,27,26,26,0.9629629629629629,1
1852,Hackney,2,2,1,1,0.5,1
1852,Hailsham,11,11,10,10,0.9090909090909091,1
1852,Halifax,19,19,15,15,0.7894736842105263,1
1852,Halstead,16,16,15,15,0.9375,1
1852,Haltwhistle,17,17,16,16,0.9411764705882353,1
1852,Hambledon,16,16,15,15,0.9375,1
1852,Hampstead,1,1,0,0,0.0,0
1852,Hardingstone,20,20,20,20,1.0,1
1852,Hartismere,32,32,32,32,1.0,1
1852,Hartley Wintney,13,13,11,11,0.8461538461538461,1
1852,Haslingden,10,10,7,7,0.7,1
1852,Hastings (1837-1977),13,13,12,12,0.9230769230769231,1
1852,Hatfield,8,8,6,6,0.75,1
1852,Havant,6,6,6,6,1.0,1
1852,Haverfordwest,69,69,59,59,0.855072463768116,1
1852,Hay,24,24,17,17,0.7083333333333334,1
1852,Hayfield,6,6,3,3,0.5,1
1852,Headington,22,22,18,18,0.8181818181818182,1
1852,Helmsley,54,54,47,47,0.8703703703703703,1
1852,Helston,18,18,16,16,0.8888888888888888,1
1852,Hemel Hempstead,6,6,6,6,1.0,1
1852,Hemsworth,25,25,22,22,0.88,1
1852,Hendon (1837-1947),9,9,9,9,1.0,1
1852,Hendon (1947-1999),9,9,9,9,1.0,1
1852,Henley,24,24,23,23,0.9583333333333334,1
1852,Henstead,37,37,32,32,0.8648648648648649,1
1852,Hereford,80,80,74,74,0.925,1
1852,Hertford,18,18,16,16,0.8888888888888888,1
1852,Hexham,72,72,66,66,0.9166666666666666,1
1852,Highworth,15,15,14,14,0.9333333333333333,1
1852,Hinckley,14,14,14,14,1.0,1
1852,Hitchin,27,27,26,26,0.9629629629629629,1
1852,Holbeach,11,11,9,9,0.8181818181818182,1
1852,Holborn,8,8,2,2,0.25,1
1852,Hollingbourne,23,23,23,23,1.0,1
1852,Holsworthy,22,22,21,21,0.9545454545454546,1
1852,Holywell,14,14,5,5,0.35714285714285715,1
1852,Honiton,28,28,28,28,1.0,1
1852,Hoo,7,7,6,6,0.8571428571428571,1
1852,Horncastle,69,69,69,69,1.0,1
1852,Horsham,10,10,10,10,1.0,1
1852,Houghton le Spring,16,16,13,13,0.8125,1
1852,Howden (1837-1937),42,42,35,35,0.8333333333333334,1
1852,Hoxne,24,24,24,24,1.0,1
1852,Huddersfield,34,34,25,25,0.7352941176470589,1
1852,Hungerford,22,22,19,19,0.8636363636363636,1
1852,Hunslet (1845-1929),23,23,20,20,0.8695652173913043,1
1852,Huntingdon,33,33,32,32,0.9696969696969697,1
1852,Ipswich,16,16,16,16,1.0,1
1852,Isle of Wight,30,30,30,30,1.0,1
1852,Islington,1,1,0,0,0.0,0
1852,Keighley (1837-1946),7,7,7,7,1.0,1
1852,Keighley (1974 onw),7,7,7,7,1.0,1
1852,Kendal (1837-1937),58,58,51,51,0.8793103448275862,1
1852,Kendal (1974 onw),58,58,51,51,0.8793103448275862,1
1852,Kensington,4,4,1,1,0.25,1
1852,Kettering,30,30,29,29,0.9666666666666667,1
1852,Keynsham,19,19,19,19,1.0,1
1852,Kidderminster,12,12,11,11,0.9166666666666666,1
1852,Kings Lynn,4,4,4,4,1.0,1
