constructed_district,official_G_NAME,official_G_UNIT,NATION,G_YEAR,matched_via,centroid_distance_km,nearest_dist_m,centroid_constructed_wkt,centroid_official_wkt
Wellington Sal,MADELEY,10216436.0,ENGLAND,1851.0,within,8.15655098120406,,POINT (360168.42112 295747.987815),POINT (365462.992434 301952.569873)
Wellington Som,WILLITON,10187588.0,ENGLAND,1851.0,within,12.84663804547029,,POINT (311993.886211 134028.853807),POINT (301097.381482 140833.432689)
Wells,BRISTOL,10211293.0,ENGLAND,1851.0,within,0.6441274564842665,,POINT (359035.594452 172468.959858),POINT (358636.990432 172974.939122)
Wem,MADELEY,10216436.0,ENGLAND,1851.0,within,3.558683840296064,,POINT (367288.3144 298897.667191),POINT (365462.992434 301952.569873)
Weobley,WEOBLEY,10075427.0,ENGLAND,1851.0,within,0.15948294533827087,,POINT (339868.151012 249291.09946),POINT (339777.009951 249421.973892)
West Ashford,HOLLINGBOURNE,10063190.0,ENGLAND,1851.0,within,3.011270904358321,,POINT (581308.68201 152788.759044),POINT (584260.434236 153384.503327)
West Bromwich,WEST BROMWICH,10154844.0,ENGLAND,1851.0,within,0.7345974676921121,,POINT (403001.60359 292204.820526),POINT (402331.670049 291903.452826)
West Derby,ORMSKIRK,10187680.0,ENGLAND,1851.0,within,4.444573328329415,,POINT (343706.272898 412827.725569),POINT (339380.08931 411808.722313)
West Ham,HATFIELD,10428609.0,ENGLAND,1851.0,within,6.060818105511642,,POINT (519995.235848 212906.645871),POINT (524749.504145 209147.596913)
West London,WEST LONDON,10094641.0,ENGLAND,1851.0,within,0.06255413893145477,,POINT (531486.759037 181290.012512),POINT (531544.372104 181314.379598)
West Ward,LANCASTER,10194120.0,ENGLAND,1851.0,within,8.690858531240803,,POINT (350595.385215 471682.760939),POINT (354802.559429 464078.110575)
Westbourne,ALTON,10030900.0,ENGLAND,1851.0,within,2.6533603125965746,,POINT (472433.496543 135845.187463),POINT (472735.038391 138481.35769)
Westbury,CHELTENHAM,10139790.0,ENGLAND,1851.0,within,6.051652812061244,,POINT (398646.693425 224120.652463),POINT (394259.744572 219952.057793)
Westbury on Severn,WESTBURY ON SEVERN,10154790.0,ENGLAND,1851.0,within,5.480991055044552,,POINT (373720.085752 211492.324728),POINT (369265.203898 214685.331244)
