district,rows,matched,match_rate
Guildford,22,20,0.9090909090909091
Leek,22,20,0.9090909090909091
West Ward,22,20,0.9090909090909091
Bromsgrove,11,10,0.9090909090909091
Dewsbury,11,10,0.9090909090909091
Hailsham,11,10,0.9090909090909091
Rye,11,10,0.9090909090909091
Stratton,11,10,0.9090909090909091
Uckfield,11,10,0.9090909090909091
Bridgend (1996 onw),56,51,0.9107142857142857
Bridgend (to 1970),56,51,0.9107142857142857
Forehoe,23,21,0.9130434782608695
Malmesbury,23,21,0.9130434782608695
Midhurst (to 1935),23,21,0.9130434782608695
Tewkesbury,23,21,0.9130434782608695
Torrington,23,21,0.9130434782608695
West Derby,23,21,0.9130434782608695
Morpeth,71,65,0.9154929577464789
Hexham,72,66,0.9166666666666666
Dorchester,60,55,0.9166666666666666
Shardlow,48,44,0.9166666666666666
Bicester,36,33,0.9166666666666666
Brixworth,36,33,0.9166666666666666
Saffron Walden,24,22,0.9166666666666666
Shepton Mallet,24,22,0.9166666666666666
Bury,12,11,0.9166666666666666
Chorlton,12,11,0.9166666666666666
Fordingbridge,12,11,0.9166666666666666
Kidderminster,12,11,0.9166666666666666
Llandilofawr,12,11,0.9166666666666666
Madeley,12,11,0.9166666666666666
Oundle,37,34,0.918918918918919
Westhampnett,37,34,0.918918918918919
East Retford,50,46,0.92
Woodbridge,50,46,0.92
Erpingham,51,47,0.9215686274509803
Caxton,26,24,0.9230769230769231
Stafford,26,24,0.9230769230769231
Wimborne,26,24,0.9230769230769231
Ashton under Lyne (1848-1937),13,12,0.9230769230769231
Cheltenham,13,12,0.9230769230769231
Hastings (1837-1977),13,12,0.9230769230769231
Kingston,13,12,0.9230769230769231
Manchester (1837-1924),13,12,0.9230769230769231
Manchester (1939 onw),13,12,0.9230769230769231
Mildenhall,13,12,0.9230769230769231
Petersfield,13,12,0.9230769230769231
Romsey (1837-1932),13,12,0.9230769230769231
Romsey (1974 onw),13,12,0.9230769230769231
Wem,13,12,0.9230769230769231
Wokingham,13,12,0.9230769230769231
Spilsby,66,61,0.9242424242424242
Hereford,80,74,0.925
Aylesbury,40,37,0.925
Tiverton,40,37,0.925
Glanford Brigg,54,50,0.9259259259259259
Blaby,27,25,0.9259259259259259
Patrington,27,25,0.9259259259259259
Rotherham,27,25,0.9259259259259259
Winchcomb,27,25,0.9259259259259259
Worthing (1837-69),27,25,0.9259259259259259
Worthing (1935 onw),27,25,0.9259259259259259
Wirral (1837-1974),56,52,0.9285714285714286
Rugby,42,39,0.9285714285714286
Cambridge (1837-1935),14,13,0.9285714285714286
Cambridge (1974 onw),14,13,0.9285714285714286
Wheatenhurst,14,13,0.9285714285714286
Depwade,43,40,0.9302325581395349
Witney,43,40,0.9302325581395349
Clutton,29,27,0.9310344827586207
Newmarket (1938-1989),29,27,0.9310344827586207
Newmarket (to 1938),29,27,0.9310344827586207
Atcham,44,41,0.9318181818181818
Teesdale,44,41,0.9318181818181818
Sleaford (1974 onw),59,55,0.9322033898305084
Sleaford (to 1933),59,55,0.9322033898305084
Louth,90,84,0.9333333333333333
Northleach,30,28,0.9333333333333333
St Faiths,30,28,0.9333333333333333
Wycombe,30,28,0.9333333333333333
Highworth,15,14,0.9333333333333333
St Austell,15,14,0.9333333333333333
Durham (1837-1938),46,43,0.9347826086956522
Chelmsford,31,29,0.9354838709677419
Oakham,31,29,0.9354838709677419
Scarborough,32,30,0.9375
Bromley,16,15,0.9375
Colchester,16,15,0.9375
Ely,16,15,0.9375
Halstead,16,15,0.9375
Hambledon,16,15,0.9375
Maidstone,16,15,0.9375
Newport S,16,15,0.9375
Downham,33,31,0.9393939393939394
Swaffham,33,31,0.9393939393939394
Gainsborough,50,47,0.94
Chesterfield,34,32,0.9411764705882353
Epping,17,16,0.9411764705882353
Goole,17,16,0.9411764705882353
Haltwhistle,17,16,0.9411764705882353
Tenbury,17,16,0.9411764705882353
Witham,17,16,0.9411764705882353
Lexden,35,33,0.9428571428571428
Warwick (to 1932),35,33,0.9428571428571428
Burton upon Trent,54,51,0.9444444444444444
Thame,36,34,0.9444444444444444
Williton,36,34,0.9444444444444444
Meriden,18,17,0.9444444444444444
Stockport,18,17,0.9444444444444444
Bourne (1837-1933),37,35,0.9459459459459459
Bourne (1974 onw),37,35,0.9459459459459459
Docking,37,35,0.9459459459459459
Melton Mowbray,56,53,0.9464285714285714
Melton Mowbray (1997 onw),56,53,0.9464285714285714
Chesterton,38,36,0.9473684210526315
Thetford,38,36,0.9473684210526315
Bridport (1959 to 1997),19,18,0.9473684210526315
Bridport (to 1958),19,18,0.9473684210526315
Northampton (1837-1923),19,18,0.9473684210526315
Northampton (1936 onw),19,18,0.9473684210526315
Romney Marsh,19,18,0.9473684210526315
Wells,19,18,0.9473684210526315
Weymouth (1959-97),19,18,0.9473684210526315
Weymouth (to 1958),19,18,0.9473684210526315
Wortley (1838-1974),19,18,0.9473684210526315
Axbridge,39,37,0.9487179487179487
Newton Abbot,39,37,0.9487179487179487
Pershore,39,37,0.9487179487179487
Winchester,39,37,0.9487179487179487
Mitford,60,57,0.95
Alton (1837 onw),20,19,0.95
Bishops Stortford,20,19,0.95
Chester le Street,20,19,0.95
Prescot,20,19,0.95
Tisbury,20,19,0.95
Wigan,20,19,0.95
Wisbech,20,19,0.95
Loddon,41,39,0.9512195121951219
Tunstead,41,39,0.9512195121951219
Alnwick,62,59,0.9516129032258065
Bingham,42,40,0.9523809523809523
Peterborough,42,40,0.9523809523809523
Launceston,21,20,0.9523809523809523
Northallerton,43,41,0.9534883720930233
Holsworthy,22,21,0.9545454545454546
Ledbury,22,21,0.9545454545454546
Linton,22,21,0.9545454545454546
Malling,22,21,0.9545454545454546
Bedford,45,43,0.9555555555555556
Aylsham,46,44,0.9565217391304348
Chipping Sodbury,23,22,0.9565217391304348
Exeter,23,22,0.9565217391304348
Pewsey,23,22,0.9565217391304348
Bath,24,23,0.9583333333333334
Chichester,24,23,0.9583333333333334
Henley,24,23,0.9583333333333334
St Ives,24,23,0.9583333333333334
Wellington Som,24,23,0.9583333333333334
